article_date;ticker;total_weighted_sentiment;article_count;daily_sentiment
2024-04-24;BA;-1.816893;7;-0.25955614285714285
2024-08-14;AAPL;-0.265966;9;-0.029551777777777774
2024-01-10;AAPL;-0.48618;16;-0.03038625
2024-12-05;NVDA;3.6975299999999995;23;0.16076217391304345
2024-01-06;AAPL;-0.38355700000000004;5;-0.07671140000000001
2024-06-07;NVDA;6.1184460000000005;36;0.16995683333333333
2024-02-13;TSLA;-1.364867;14;-0.09749050000000001
2024-01-05;BA;0.47912199999999994;2;0.23956099999999997
2024-03-13;NVDA;1.739243;31;0.05610461290322581
2024-11-08;AAPL;0.48728099999999996;10;0.048728099999999996
2024-02-11;AAPL;0.590576;8;0.073822
2024-01-20;GOOG;0.376452;3;0.125484
2024-05-31;NVDA;3.5715199999999996;30;0.11905066666666665
2024-07-23;AAPL;0.814075;11;0.07400681818181819
2024-08-23;AAPL;0.686162;10;0.0686162
2024-11-07;AAPL;0.26980000000000004;10;0.026980000000000004
2024-05-07;NVDA;1.2974739999999998;15;0.08649826666666666
2024-01-10;TSLA;0.7044279999999998;18;0.03913488888888888
2024-03-24;AAPL;1.080984;8;0.135123
2024-04-09;GOOG;4.8009520000000006;25;0.19203808000000003
2024-05-23;AAPL;0.8768509999999999;10;0.08768509999999999
2024-07-20;AAPL;0.048940000000000004;3;0.016313333333333336
2024-09-14;O;-0.007963999999999985;4;-0.0019909999999999962
2024-02-08;TSLA;0.48319199999999984;17;0.028423058823529402
2024-05-08;AAPL;0.265942;13;0.020457076923076925
2024-01-09;NVDA;3.074814;13;0.23652415384615383
2024-02-05;GOOG;0.2880940000000001;9;0.03201044444444445
2024-01-31;BA;-0.37112200000000006;6;-0.061853666666666675
2024-01-29;NVDA;2.579662;15;0.17197746666666666
2024-02-06;AAPL;0.40827100000000005;15;0.02721806666666667
2024-06-10;AAPL;1.0272080000000001;20;0.05136040000000001
2024-01-13;NVDA;2.786974;16;0.174185875
2024-02-18;NVDA;2.530885;18;0.14060472222222223
2024-05-02;BA;-0.365942;4;-0.0914855
2024-07-27;BA;0.028999999999999998;2;0.014499999999999999
2024-02-23;TSLA;-1.0161280000000001;13;-0.07816369230769232
2024-05-30;NVDA;3.643798;34;0.1071705294117647
2024-01-26;GOOG;0.09383400000000008;8;0.01172925000000001
2024-08-18;O;0.332664;2;0.166332
2024-06-16;NVDA;2.659948;17;0.1564675294117647
2024-01-05;GOOG;1.7888229999999998;14;0.12777307142857142
2024-08-05;AAPL;-0.5927990000000001;15;-0.03951993333333334
2024-08-16;NVDA;1.019342;14;0.07281014285714285
2024-05-22;AAPL;0.23917799999999997;11;0.02174345454545454
2024-03-26;AAPL;0.15415400000000004;17;0.009067882352941179
2024-10-19;BA;-0.7179070000000001;3;-0.23930233333333337
2024-05-20;AAPL;0.410184;13;0.03155261538461539
2024-01-30;GOOG;0.33738200000000007;8;0.04217275000000001
2024-02-04;GOOG;0.6147150000000001;4;0.15367875000000003
2024-09-21;AAPL;0.493834;4;0.1234585
2024-09-26;AAPL;0.7716900000000001;6;0.128615
2024-04-05;NVDA;2.6421170000000003;25;0.10568468000000002
2024-04-10;GOOG;4.012488;23;0.174456
2024-03-05;O;0.14994600000000002;2;0.07497300000000001
2024-04-20;O;2.2000000000001185e-05;2;1.1000000000000593e-05
2024-09-28;TSLA;0.33068699999999995;7;0.04724099999999999
2024-10-13;AAPL;0.37443299999999996;6;0.062405499999999996
2024-08-17;BA;-0.0024;1;-0.0024
2024-08-25;BA;0.13267299999999999;1;0.13267299999999999
2024-12-30;BA;-0.9230160000000001;3;-0.307672
2024-03-19;O;0.23317500000000002;2;0.11658750000000001
2024-12-21;BA;-0.242403;1;-0.242403
2024-11-08;NVDA;3.109248;24;0.129552
2024-08-20;BA;-1.910708;5;-0.3821416
2024-02-28;AAPL;-0.8329440000000001;24;-0.03470600000000001
2024-01-07;GOOG;0.68795;6;0.11465833333333332
2024-05-21;AAPL;-0.03843299999999997;12;-0.0032027499999999973
2024-08-02;AAPL;0.24344500000000013;21;0.011592619047619055
2024-03-26;GOOG;0.42909200000000003;10;0.0429092
2024-06-18;AAPL;2.214631;17;0.13027241176470586
2024-09-28;O;0.371977;3;0.12399233333333333
2024-02-16;GOOG;0.673688;12;0.056140666666666665
2024-09-20;TSLA;-0.287101;12;-0.023925083333333333
2024-01-14;GOOG;0.47505;3;0.15835
2024-02-09;GOOG;1.3701609999999997;12;0.11418008333333331
2024-04-07;NVDA;1.018034;15;0.06786893333333334
2024-04-19;AAPL;-0.907951;8;-0.113493875
2024-05-10;TSLA;-2.667231;15;-0.1778154
2024-05-25;GOOG;0.21858399999999995;4;0.054645999999999986
2024-02-08;GOOG;0.7871360000000001;8;0.09839200000000001
2024-02-17;BA;0.004165;1;0.004165
2024-02-18;TSLA;-0.34093100000000004;6;-0.05682183333333334
2024-08-19;NVDA;1.6679550000000003;17;0.09811500000000002
2024-01-15;GOOG;0.48133200000000004;6;0.080222
2024-03-19;GOOG;2.275544;17;0.1338555294117647
2024-12-28;GOOG;0.18150500000000003;6;0.030250833333333338
2024-02-16;AAPL;0.75062;11;0.06823818181818181
2024-07-19;NVDA;3.0059199999999997;17;0.17681882352941175
2024-11-09;AAPL;-0.24475000000000002;13;-0.018826923076923078
2024-12-13;TSLA;1.173578;13;0.09027523076923077
2024-12-20;TSLA;-0.21136600000000003;10;-0.021136600000000002
2024-12-06;GOOG;-0.3118139999999999;6;-0.05196899999999999
2024-03-27;GOOG;0.817924;11;0.07435672727272727
2024-08-05;NVDA;-1.876499;38;-0.049381552631578944
2024-08-22;NVDA;2.935988;29;0.10124096551724138
2024-10-28;AAPL;1.7627159999999997;14;0.1259082857142857
2024-07-30;BA;-0.179342;2;-0.089671
2024-01-22;AAPL;-0.38705599999999996;13;-0.02977353846153846
2024-09-07;O;0.26626799999999995;4;0.06656699999999999
2024-01-27;AAPL;1.01814;9;0.11312666666666667
2024-07-22;NVDA;1.402319;24;0.05842995833333334
2024-01-11;BA;-1.4732729999999998;8;-0.18415912499999998
2024-03-30;BA;-0.43768799999999997;3;-0.145896
2024-08-28;BA;-0.12525;3;-0.04175
2024-10-14;BA;-1.7867160000000002;7;-0.2552451428571429
2024-11-19;BA;0.064974;2;0.032487
2024-04-16;AAPL;-0.30860400000000004;8;-0.038575500000000006
2024-08-08;AAPL;0.7041420000000002;13;0.054164769230769245
2024-02-13;GOOG;1.0120090000000002;7;0.1445727142857143
2024-03-19;NVDA;4.855473;40;0.121386825
2024-07-21;AAPL;0.416298;6;0.069383
2024-02-07;TSLA;-0.7134820000000001;17;-0.04196952941176471
2024-05-29;NVDA;5.005418000000001;27;0.18538585185185188
2024-09-08;AAPL;1.0554739999999998;14;0.07539099999999999
2024-10-01;NVDA;1.505762;17;0.08857423529411765
2024-04-10;NVDA;2.409683;24;0.10040345833333332
2024-02-21;TSLA;-0.019989999999999897;19;-0.0010521052631578894
2024-09-03;O;0.196;1;0.196
2024-02-17;O;0.535332;2;0.267666
2024-07-03;TSLA;2.430269;26;0.09347188461538461
2024-07-16;NVDA;2.4403910000000004;16;0.15252443750000003
2024-04-01;TSLA;-2.167185;21;-0.10319928571428572
2024-05-04;O;0.13570500000000002;2;0.06785250000000001
2024-04-02;GOOG;0.9998130000000001;12;0.08331775000000001
2024-06-30;AAPL;-0.3544590000000001;8;-0.04430737500000001
2024-04-12;AAPL;-0.4916419999999999;8;-0.06145524999999999
2024-01-20;NVDA;1.4838410000000002;9;0.16487122222222225
2024-08-29;NVDA;0.1849550000000001;49;0.0037745918367346957
2024-06-27;BA;-0.8185939999999999;3;-0.27286466666666664
2024-12-12;AAPL;2.373297;17;0.13960570588235294
2024-04-29;AAPL;0.44734699999999994;11;0.04066790909090909
2024-09-12;AAPL;0.852752;12;0.07106266666666666
2024-11-14;NVDA;2.0610820000000003;24;0.08587841666666668
2024-03-25;TSLA;-2.0560889999999996;23;-0.08939517391304345
2024-06-01;AAPL;0.338582;2;0.169291
2024-06-04;NVDA;5.637005;38;0.14834223684210526
2024-06-06;NVDA;6.004376000000001;37;0.16228043243243245
2024-01-22;BA;-1.2622659999999999;5;-0.2524532
2024-08-19;O;0.35865800000000003;2;0.17932900000000002
2024-03-22;NVDA;3.936916;29;0.13575572413793105
2024-01-13;GOOG;1.9362389999999998;7;0.2766055714285714
2024-11-05;AAPL;0.7978609999999999;8;0.09973262499999999
2024-02-22;NVDA;9.978068;49;0.20363404081632655
2024-02-25;TSLA;-0.32848499999999997;11;-0.029862272727272723
2024-07-23;NVDA;2.525962;17;0.148586
2024-08-30;AAPL;0.21369999999999995;9;0.02374444444444444
2024-02-02;BA;-0.7971250000000001;1;-0.7971250000000001
2024-06-29;BA;-0.0022879999999999997;1;-0.0022879999999999997
2024-02-21;NVDA;3.8711049999999996;39;0.09925910256410256
2024-08-26;AAPL;0.17806300000000003;13;0.013697153846153848
2024-06-22;BA;0.111566;1;0.111566
2024-07-25;AAPL;-0.37403000000000003;10;-0.037403000000000006
2024-05-18;GOOG;0.39052200000000004;4;0.09763050000000001
2024-03-15;NVDA;3.514149;26;0.13515957692307692
2024-03-25;BA;-1.128773;5;-0.2257546
2024-08-30;BA;0.073689;3;0.024563
2024-08-24;NVDA;1.4931870000000003;17;0.08783452941176473
2024-12-07;NVDA;1.767225;18;0.09817916666666666
2024-12-13;AAPL;1.1747659999999998;9;0.13052955555555554
2024-04-01;BA;-0.6012;2;-0.3006
2024-06-08;BA;0.20901899999999998;1;0.20901899999999998
2024-09-12;O;0.451143;3;0.15038100000000001
2024-01-16;NVDA;1.007781;13;0.07752161538461538
2024-07-24;GOOG;0.15083100000000005;28;0.00538682142857143
2024-04-07;AAPL;-0.32551899999999984;10;-0.03255189999999998
2024-09-27;AAPL;1.0248270000000002;6;0.17080450000000003
2024-07-13;TSLA;0.1688;4;0.0422
2024-08-10;AAPL;0.277555;9;0.030839444444444444
2024-09-14;AAPL;-0.04900900000000005;6;-0.008168166666666676
2024-02-02;NVDA;4.667599000000001;18;0.2593110555555556
2024-03-19;AAPL;1.986272;16;0.124142
2024-03-31;TSLA;-0.3101589999999999;10;-0.031015899999999992
2024-03-26;BA;-1.393144;5;-0.2786288
2024-10-22;AAPL;0.8119809999999998;10;0.08119809999999998
2024-02-09;TSLA;-0.522871;12;-0.04357258333333333
2024-12-14;AAPL;0.447444;4;0.111861
2024-11-21;BA;-1.075432;2;-0.537716
2024-07-17;NVDA;2.521921;29;0.08696279310344827
2024-09-11;NVDA;0.904003;25;0.03616012
2024-08-13;O;0.193158;2;0.096579
2024-03-12;BA;-3.0702160000000003;6;-0.5117026666666668
2024-05-05;BA;-0.37702600000000003;2;-0.18851300000000001
2024-04-28;NVDA;0.9107980000000001;12;0.07589983333333335
2024-05-03;AAPL;0.053247000000000065;24;0.0022186250000000027
2024-11-05;NVDA;1.469528;21;0.06997752380952381
2024-01-08;AAPL;-0.06240200000000007;8;-0.0078002500000000086
2024-05-21;TSLA;-0.890432;13;-0.06849476923076923
2024-02-12;AAPL;0.58168;11;0.052879999999999996
2024-09-10;NVDA;1.441559;26;0.05544457692307692
2024-04-19;BA;-0.661;3;-0.22033333333333335
2024-04-23;NVDA;1.634576;16;0.102161
2024-01-31;GOOG;-0.5208060000000002;23;-0.02264373913043479
2024-03-30;AAPL;0.284338;8;0.03554225
2024-05-17;AAPL;-0.658481;4;-0.16462025
2024-01-27;GOOG;1.074754;5;0.2149508
2024-06-12;AAPL;3.3901520000000005;27;0.1255611851851852
2024-04-11;BA;0.03215800000000002;2;0.01607900000000001
2024-06-20;NVDA;5.713126;43;0.1328633953488372
2024-01-14;AAPL;0.752551;6;0.12542516666666667
2024-08-09;AAPL;0.17744199999999996;9;0.019715777777777773
2024-02-12;GOOG;0.601379;10;0.0601379
