symbol,date,open,high,low,close,volume,adjclose,dividends
AAPL,2024-01-02 00:00:00+00:00,187.14999389648438,188.44000244140625,183.88999938964844,185.63999938964844,82488700,184.53208923339844,0.0
AAPL,2024-01-03 00:00:00+00:00,184.22000122070312,185.8800048828125,183.42999267578125,184.25,58414500,183.15037536621094,0.0
AAPL,2024-01-04 00:00:00+00:00,182.14999389648438,183.08999633789062,180.8800048828125,181.91000366210938,71983600,180.8243408203125,0.0
AAPL,2024-01-05 00:00:00+00:00,181.99000549316406,182.75999450683594,180.1699981689453,181.17999267578125,62303300,180.09869384765625,0.0
AAPL,2024-01-08 00:00:00+00:00,182.08999633789062,185.60000610351562,181.5,185.55999755859375,59144500,184.4525604248047,0.0
AAPL,2024-01-09 00:00:00+00:00,183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,42841800,184.03506469726562,0.0
AAPL,2024-01-10 00:00:00+00:00,184.35000610351562,186.39999389648438,183.9199981689453,186.19000244140625,46792900,185.07879638671875,0.0
AAPL,2024-01-11 00:00:00+00:00,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,49128400,184.4823760986328,0.0
AAPL,2024-01-12 00:00:00+00:00,186.05999755859375,186.74000549316406,185.19000244140625,185.9199981689453,40444700,184.81040954589844,0.0
AAPL,2024-01-16 00:00:00+00:00,182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,65603000,182.53408813476562,0.0
AAPL,2024-01-17 00:00:00+00:00,181.27000427246094,182.92999267578125,180.3000030517578,182.67999267578125,47317400,181.58975219726562,0.0
AAPL,2024-01-18 00:00:00+00:00,186.08999633789062,189.13999938964844,185.8300018310547,188.6300048828125,78005800,187.50424194335938,0.0
AAPL,2024-01-19 00:00:00+00:00,189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859375,68741000,190.41676330566406,0.0
AAPL,2024-01-22 00:00:00+00:00,192.3000030517578,195.3300018310547,192.25999450683594,193.88999938964844,60133900,192.7328338623047,0.0
AAPL,2024-01-23 00:00:00+00:00,195.02000427246094,195.75,193.8300018310547,195.17999267578125,42355600,194.01515197753906,0.0
AAPL,2024-01-24 00:00:00+00:00,195.4199981689453,196.3800048828125,194.33999633789062,194.5,53631300,193.33920288085938,0.0
AAPL,2024-01-25 00:00:00+00:00,195.22000122070312,196.27000427246094,193.11000061035156,194.1699981689453,54822100,193.01116943359375,0.0
AAPL,2024-01-26 00:00:00+00:00,194.27000427246094,194.75999450683594,191.94000244140625,192.4199981689453,44594000,191.27162170410156,0.0
AAPL,2024-01-29 00:00:00+00:00,192.00999450683594,192.1999969482422,189.5800018310547,191.72999572753906,47145600,190.58575439453125,0.0
AAPL,2024-01-30 00:00:00+00:00,190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,55859400,186.91775512695312,0.0
AAPL,2024-01-31 00:00:00+00:00,187.0399932861328,187.10000610351562,184.35000610351562,184.39999389648438,55467800,183.2994842529297,0.0
AAPL,2024-02-01 00:00:00+00:00,183.99000549316406,186.9499969482422,183.82000732421875,186.86000061035156,64885400,185.74481201171875,0.0
AAPL,2024-02-02 00:00:00+00:00,179.86000061035156,187.3300018310547,179.25,185.85000610351562,102518000,184.7408447265625,0.0
AAPL,2024-02-05 00:00:00+00:00,188.14999389648438,189.25,185.83999633789062,187.67999267578125,69668800,186.55992126464844,0.0
AAPL,2024-02-06 00:00:00+00:00,186.86000061035156,189.30999755859375,186.77000427246094,189.3000030517578,43490800,188.1702423095703,0.0
AAPL,2024-02-07 00:00:00+00:00,190.63999938964844,191.0500030517578,188.61000061035156,189.41000366210938,53439000,188.27960205078125,0.0
AAPL,2024-02-08 00:00:00+00:00,189.38999938964844,189.5399932861328,187.35000610351562,188.32000732421875,40962000,187.1961212158203,0.0
AAPL,2024-02-09 00:00:00+00:00,188.64999389648438,189.99000549316406,188.0,188.85000610351562,45155200,187.96246337890625,0.24
AAPL,2024-02-12 00:00:00+00:00,188.4199981689453,188.6699981689453,186.7899932861328,187.14999389648438,41781900,186.27044677734375,0.0
AAPL,2024-02-13 00:00:00+00:00,185.77000427246094,186.2100067138672,183.50999450683594,185.0399932861328,56529500,184.1703643798828,0.0
AAPL,2024-02-14 00:00:00+00:00,185.32000732421875,185.52999877929688,182.44000244140625,184.14999389648438,54630500,183.28456115722656,0.0
AAPL,2024-02-15 00:00:00+00:00,183.5500030517578,184.49000549316406,181.35000610351562,183.86000061035156,65434500,182.9959259033203,0.0
AAPL,2024-02-16 00:00:00+00:00,183.4199981689453,184.85000610351562,181.6699981689453,182.30999755859375,49701400,181.4532012939453,0.0
AAPL,2024-02-20 00:00:00+00:00,181.7899932861328,182.42999267578125,180.0,181.55999755859375,53665600,180.7067413330078,0.0
AAPL,2024-02-21 00:00:00+00:00,181.94000244140625,182.88999938964844,180.66000366210938,182.32000732421875,41529700,181.46316528320312,0.0
AAPL,2024-02-22 00:00:00+00:00,183.47999572753906,184.9600067138672,182.4600067138672,184.3699951171875,52292200,183.5035400390625,0.0
AAPL,2024-02-23 00:00:00+00:00,185.00999450683594,185.0399932861328,182.22999572753906,182.52000427246094,45119700,181.6622314453125,0.0
AAPL,2024-02-26 00:00:00+00:00,182.24000549316406,182.75999450683594,180.64999389648438,181.16000366210938,40867400,180.30860900878906,0.0
AAPL,2024-02-27 00:00:00+00:00,181.10000610351562,183.9199981689453,179.55999755859375,182.6300048828125,54318900,181.77171325683594,0.0
AAPL,2024-02-28 00:00:00+00:00,182.50999450683594,183.1199951171875,180.1300048828125,181.4199981689453,48953900,180.56739807128906,0.0
AAPL,2024-02-29 00:00:00+00:00,181.27000427246094,182.57000732421875,179.52999877929688,180.75,136682600,179.90054321289062,0.0
AAPL,2024-03-01 00:00:00+00:00,179.5500030517578,180.52999877929688,177.3800048828125,179.66000366210938,73488000,178.815673828125,0.0
AAPL,2024-03-04 00:00:00+00:00,176.14999389648438,176.89999389648438,173.7899932861328,175.10000610351562,81510100,174.277099609375,0.0
AAPL,2024-03-05 00:00:00+00:00,170.75999450683594,172.0399932861328,169.6199951171875,170.1199951171875,95132400,169.32049560546875,0.0
AAPL,2024-03-06 00:00:00+00:00,171.05999755859375,171.24000549316406,168.67999267578125,169.1199951171875,68587700,168.32518005371094,0.0
AAPL,2024-03-07 00:00:00+00:00,169.14999389648438,170.72999572753906,168.49000549316406,169.0,71765100,168.20574951171875,0.0
AAPL,2024-03-08 00:00:00+00:00,169.0,173.6999969482422,168.94000244140625,170.72999572753906,76114600,169.92762756347656,0.0
